[2023-06-01 19:14:56] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:56] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:56] [INFO: OSF-LOG   ] {2|ep-176 } RTTTTT|
[2023-06-01 19:14:56] [PKT : BV        ] 00 01 02 00 00 39 00 49 91 0b 47 6a a4 c6 82 c8 54
[2023-06-01 19:14:57] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:57] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:57] [INFO: OSF-LOG   ] {2|ep-177 } RTTTTT|
[2023-06-01 19:14:57] [nid : BV        ] 58 0
[2023-06-01 19:14:57] [PKT : BV        ] 00 01 02 00 00 3a 00 b7 6d 9e 58 71 ac 35 b7 13 2b
[2023-06-01 19:14:57] [new_id: BV        ] 1
[2023-06-01 19:14:57] [INFO: App       ] RX: b7 6d 9e 58 71 ac 35 b7
[2023-06-01 19:14:58] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:58] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:58] [INFO: OSF-LOG   ] {2|ep-178 } RTTTTT|
[2023-06-01 19:14:58] [PKT : BV        ] 00 01 02 00 00 3a 00 b7 6d 9e 58 71 ac 35 b7 13 2b
[2023-06-01 19:14:59] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:59] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:59] [INFO: OSF-LOG   ] {2|ep-179 } RTTTTT|
[2023-06-01 19:14:59] [PKT : BV        ] 00 01 02 00 00 3a 00 b7 6d 9e 58 71 ac 35 b7 13 2b
[2023-06-01 19:15:00] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:00] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:00] [INFO: OSF-LOG   ] {2|ep-180 } RTTTTT|
[2023-06-01 19:15:00] [nid : BV        ] 59 0
[2023-06-01 19:15:00] [PKT : BV        ] 00 01 02 00 00 3b 00 66 70 7b 30 88 e5 7d 93 5c 34
[2023-06-01 19:15:00] [new_id: BV        ] 1
[2023-06-01 19:15:00] [INFO: App       ] RX: 66 70 7b 30 88 e5 7d 93
[2023-06-01 19:15:01] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:01] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:01] [INFO: OSF-LOG   ] {2|ep-181 } RTTTTT|
[2023-06-01 19:15:01] [PKT : BV        ] 00 01 02 00 00 3b 00 66 70 7b 30 88 e5 7d 93 5c 34
[2023-06-01 19:15:02] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:02] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:02] [INFO: OSF-LOG   ] {2|ep-182 } RTTTTT|
[2023-06-01 19:15:02] [PKT : BV        ] 00 01 02 00 00 3b 00 66 70 7b 30 88 e5 7d 93 5c 34
[2023-06-01 19:15:03] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:03] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:03] [INFO: OSF-LOG   ] {2|ep-183 } RTTTTT|
[2023-06-01 19:15:03] [nid : BV        ] 60 0
[2023-06-01 19:15:03] [PKT : BV        ] 00 01 02 00 00 3c 00 2d a4 f0 6e 1b 57 04 2a 86 0c
[2023-06-01 19:15:03] [new_id: BV        ] 1
[2023-06-01 19:15:03] [INFO: App       ] RX: 2d a4 f0 6e 1b 57 04 2a
[2023-06-01 19:15:04] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:04] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:04] [INFO: OSF-LOG   ] {2|ep-184 } RTTTTT|
[2023-06-01 19:15:04] [PKT : BV        ] 00 01 02 00 00 3c 00 2d a4 f0 6e 1b 57 04 2a 86 0c
[2023-06-01 19:15:05] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:05] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:05] [INFO: OSF-LOG   ] {2|ep-185 } RTTTTT|
[2023-06-01 19:15:05] [PKT : BV        ] 00 01 02 00 00 3c 00 2d a4 f0 6e 1b 57 04 2a 86 0c
[2023-06-01 19:15:06] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:06] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:06] [INFO: OSF-LOG   ] {2|ep-186 } RTTTTT|
[2023-06-01 19:15:06] [nid : BV        ] 61 0
[2023-06-01 19:15:06] [PKT : BV        ] 00 01 02 00 00 3d 00 3a 86 ac 5d 8b d3 65 99 97 80
[2023-06-01 19:15:06] [new_id: BV        ] 1
[2023-06-01 19:15:06] [INFO: App       ] RX: 3a 86 ac 5d 8b d3 65 99
[2023-06-01 19:15:07] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:07] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:07] [INFO: OSF-LOG   ] {2|ep-187 } RTTTTT|
[2023-06-01 19:15:07] [PKT : BV        ] 00 01 02 00 00 3d 00 3a 86 ac 5d 8b d3 65 99 97 80
[2023-06-01 19:15:08] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:08] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:08] [INFO: OSF-LOG   ] {2|ep-188 } RTTTTT|
[2023-06-01 19:15:08] [PKT : BV        ] 00 01 02 00 00 3d 00 3a 86 ac 5d 8b d3 65 99 97 80
[2023-06-01 19:15:09] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:09] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:09] [INFO: OSF-LOG   ] {2|ep-189 } RTTTTT|
[2023-06-01 19:15:09] [nid : BV        ] 62 0
[2023-06-01 19:15:09] [PKT : BV        ] 00 01 02 00 00 3e 00 b3 ea 29 be 4e 02 19 a7 b2 f1
[2023-06-01 19:15:09] [new_id: BV        ] 1
[2023-06-01 19:15:09] [INFO: App       ] RX: b3 ea 29 be 4e 02 19 a7
[2023-06-01 19:15:10] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:10] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:10] [INFO: OSF-LOG   ] {2|ep-190 } RTTTTT|
[2023-06-01 19:15:10] [PKT : BV        ] 00 01 02 00 00 3e 00 b3 ea 29 be 4e 02 19 a7 b2 f1
[2023-06-01 19:15:11] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:11] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:11] [INFO: OSF-LOG   ] {2|ep-191 } RTTTTT|
[2023-06-01 19:15:11] [PKT : BV        ] 00 01 02 00 00 3e 00 b3 ea 29 be 4e 02 19 a7 b2 f1
[2023-06-01 19:15:12] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:12] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:12] [INFO: OSF-LOG   ] {2|ep-192 } RTTTTT|
