timestamp,rpi120,rpi121,rpi122,rpi123,rpi124,rpi125,rpi126,rpi127
0,30,30,30,30,30,30,30,30
120000000000,30,30,30,30,30,30,40,30
240000000000,30,30,30,30,30,30,50,30
360000000000,30,30,30,30,30,30,60,30
480000000000,30,30,30,30,30,30,70,30
600000000000,30,30,30,30,30,30,30,30
